 

stn;time;sremaxdv;su2000d0
LUZ;20180608;13;1.9
LUZ;20180609;45;6.6
LUZ;20180610;66;9.8
LUZ;20180611;22;3.3
LUZ;20180612;0;0.0
LUZ;20180613;0;0.0
LUZ;20180614;43;6.4
LUZ;20180615;66;9.8
LUZ;20180616;86;12.7
LUZ;20180617;15;2.2
LUZ;20180618;39;5.8
LUZ;20180619;91;13.6
LUZ;20180620;99;14.6
LUZ;20180621;52;7.7
LUZ;20180622;69;10.3
LUZ;20180623;98;14.6
LUZ;20180624;23;3.5
LUZ;20180625;38;5.6
LUZ;20180626;99;14.8
LUZ;20180627;81;12.1
LUZ;20180628;64;9.5
LUZ;20180629;56;8.3
LUZ;20180630;97;14.4
LUZ;20180701;97;14.4
LUZ;20180702;60;8.8
LUZ;20180703;37;5.5
LUZ;20180704;57;8.5
LUZ;20180705;9;1.3
LUZ;20180706;0;0.0
LUZ;20180707;71;10.5
LUZ;20180708;84;12.3
LUZ;20180709;85;12.4
LUZ;20180710;25;3.6
LUZ;20180711;15;2.2
LUZ;20180712;95;13.8
LUZ;20180713;85;12.3
LUZ;20180714;52;7.5
LUZ;20180715;50;7.2
LUZ;20180716;96;13.8
LUZ;20180717;53;7.6
LUZ;20180718;97;13.9
LUZ;20180719;95;13.5
LUZ;20180720;48;6.9
LUZ;20180721;2;0.3
LUZ;20180722;15;2.1
LUZ;20180723;54;7.6
LUZ;20180724;77;10.8
LUZ;20180725;94;13.2
LUZ;20180726;98;13.8
LUZ;20180727;100;13.9
LUZ;20180728;14;1.9
LUZ;20180729;97;13.5
LUZ;20180730;97;13.3
LUZ;20180731;96;13.2
LUZ;20180801;50;6.9
LUZ;20180802;89;12.2
LUZ;20180803;97;13.2
LUZ;20180804;71;9.6
LUZ;20180805;81;11.0
LUZ;20180806;50;6.7
LUZ;20180807;21;2.8
LUZ;20180808;29;3.9
LUZ;20180809;55;7.4
LUZ;20180810;37;4.9
LUZ;20180811;87;11.5
LUZ;20180812;100;13.3
LUZ;20180813;29;3.8
LUZ;20180814;14;1.9
LUZ;20180815;81;10.5
LUZ;20180816;100;13.0
LUZ;20180817;51;6.6
LUZ;20180818;32;4.2
LUZ;20180819;76;9.8
LUZ;20180820;98;12.6
LUZ;20180821;97;12.4
LUZ;20180822;95;12.1
LUZ;20180823;56;7.1
LUZ;20180824;16;2.0
LUZ;20180825;0;0.0
LUZ;20180826;92;11.5
LUZ;20180827;72;9.0
LUZ;20180828;90;11.2
LUZ;20180829;54;6.6
LUZ;20180830;0;0.0
LUZ;20180831;0;0.0
LUZ;20180901;0;0.0
LUZ;20180902;0;0.0
LUZ;20180903;5;0.7
LUZ;20180904;93;11.2
LUZ;20180905;80;9.7
LUZ;20180906;31;3.7
LUZ;20180907;21;2.5
LUZ;20180908;100;12.0
LUZ;20180909;98;11.8
LUZ;20180910;85;10.2
LUZ;20180911;100;12.0
LUZ;20180912;95;11.2
LUZ;20180913;44;5.2
LUZ;20180914;10;1.1
LUZ;20180915;48;5.6
LUZ;20180916;53;6.1
LUZ;20180917;95;11.0
LUZ;20180918;58;6.6
LUZ;20180919;98;11.1
LUZ;20180920;100;11.3
LUZ;20180921;46;5.1
LUZ;20180922;62;6.9
LUZ;20180923;34;3.8
LUZ;20180924;13;1.5
LUZ;20180925;98;10.8
LUZ;20180926;100;11.0
LUZ;20180927;100;10.9
LUZ;20180928;86;9.3
LUZ;20180929;0;0.0
LUZ;20180930;64;6.8
LUZ;20181001;0;0.0
LUZ;20181002;45;4.7
LUZ;20181003;39;4.1
LUZ;20181004;39;4.1
LUZ;20181005;76;7.9
LUZ;20181006;23;2.3
LUZ;20181007;31;3.2
LUZ;20181008;5;0.5
LUZ;20181009;58;5.9
LUZ;20181010;68;6.8
LUZ;20181011;20;2.0
LUZ;20181012;99;9.8
LUZ;20181013;100;10.1
LUZ;20181014;100;9.8
LUZ;20181015;98;9.5
LUZ;20181016;84;8.0
LUZ;20181017;93;8.9
LUZ;20181018;77;7.3
LUZ;20181019;0;0.0
LUZ;20181020;20;1.9
LUZ;20181021;0;0.0
LUZ;20181022;58;5.4
LUZ;20181023;58;5.4
LUZ;20181024;22;2.0
LUZ;20181025;100;9.2
LUZ;20181026;46;4.2
LUZ;20181027;0;0.0
LUZ;20181028;0;0.0
LUZ;20181029;0;0.0
LUZ;20181030;0;0.0
LUZ;20181031;12;1.0
LUZ;20181101;33;2.8
LUZ;20181102;0;0.0
LUZ;20181103;0;0.0
LUZ;20181104;0;0.0
LUZ;20181105;47;3.9
LUZ;20181106;-;-
LUZ;20181107;-;-
LUZ;20181108;0;0.0
LUZ;20181109;0;0.0
LUZ;20181110;34;2.7
LUZ;20181111;88;6.9
LUZ;20181112;72;5.6
LUZ;20181113;1;0.1
LUZ;20181114;0;0.0
LUZ;20181115;0;0.0
LUZ;20181116;0;0.0
LUZ;20181117;0;0.0
LUZ;20181118;0;0.0

