img_nr,iso,ss,exp,r_avg,g_avg,b_avg
263,100,13110,13015,4525.64,4369.38,4527.48
264,100,13148,13053,4526.94,4369.92,4528.42
265,100,13204,13110,4528.08,4371.05,4530.17
266,100,13261,13167,4529.91,4372.09,4531.59
267,100,13299,13204,4529.56,4372.04,4531.65
268,100,13356,13261,4532.52,4373.82,4533.95
269,100,13412,13318,4534.35,4375.43,4536.21
270,100,13450,13356,4534.83,4375.33,4536.34
271,100,13507,13412,4537.36,4376.96,4538.99
272,100,13564,13469,4538.88,4378.13,4540.89
273,100,13601,13507,4539.84,4378.58,4541.45
274,100,13658,13564,4541.45,4379.94,4543.28
275,100,13715,13620,4543.89,4381.06,4545.27
276,100,13753,13658,4545.53,4382.47,4547.10
277,100,13809,13715,4547.15,4383.35,4548.61
278,100,13866,13772,4549.33,4384.79,4550.50
279,100,13904,13809,4550.91,4386.03,4551.44
280,100,13961,13866,4552.19,4386.95,4553.58
281,100,14017,13923,4554.26,4388.00,4555.03
282,100,14055,13961,4555.12,4388.26,4555.64
283,100,14112,14017,4556.64,4389.27,4558.12
284,100,14150,14055,4557.96,4390.18,4558.89
285,100,14206,14169,4559.93,4391.51,4560.99
286,100,14263,14169,4561.63,4392.59,4562.81
287,100,14301,14206,4563.97,4393.99,4564.65
288,100,14358,14263,4558.18,4390.61,4559.65
289,100,14414,14320,4560.05,4392.08,4561.27
290,100,14452,14358,4561.66,4392.65,4563.07
291,100,14509,14414,4552.58,4387.15,4553.87
292,100,14565,14471,4567.06,4396.20,4568.23
293,100,14603,14509,4566.75,4396.14,4567.28
294,100,14660,14565,4568.16,4397.04,4569.17
295,100,14717,14622,4570.13,4398.23,4571.66
296,100,14755,14660,4571.68,4399.08,4572.07
297,100,14811,14717,4573.09,4400.80,4574.25
298,100,14868,14773,4574.53,4401.08,4574.61
299,100,14906,14811,4574.90,4401.68,4576.52
300,100,14962,14868,4576.02,4402.39,4576.52
301,100,15000,14906,4578.73,4404.14,4578.94
302,100,15057,14962,4580.58,4405.08,4580.69
303,100,15114,15019,4581.19,4405.50,4581.55
304,100,15152,15057,4583.24,4406.49,4583.15
305,100,15208,15114,4585.05,4408.00,4585.65
306,100,15265,15170,4586.30,4408.78,4587.01
307,100,15303,15208,4587.58,4409.34,4587.46
308,100,15359,15265,4589.39,4411.27,4590.36
309,100,15416,15322,4591.59,4412.03,4592.06
310,100,15454,15359,4592.15,4412.31,4592.34
311,100,15511,15416,4593.40,4413.30,4594.07
312,100,15567,15473,4595.34,4414.81,4596.00
313,100,15605,15511,4596.69,4415.67,4596.76
314,100,15662,15567,4598.19,4416.27,4598.41
315,100,15700,15605,4600.44,4417.89,4600.64
316,100,15756,15662,4601.26,4418.70,4602.08
317,100,15813,15719,4603.38,4419.72,4603.44
318,100,15851,15756,4606.26,4421.66,4607.12
319,100,15908,15813,4607.43,4422.35,4607.81
320,100,15964,15870,4607.52,4422.56,4607.91
321,100,16002,15908,4610.40,4424.13,4610.12
322,100,16059,15964,4612.41,4426.13,4613.05
323,100,16116,16021,4614.13,4426.89,4613.96
324,100,16153,16059,4615.72,4427.75,4615.23
325,100,16210,16116,4615.76,4428.16,4616.10
326,100,16267,16172,4618.44,4429.87,4618.90
327,100,16305,16210,4619.81,4430.50,4619.95
328,100,16361,16267,4620.57,4431.57,4620.58
329,100,16418,16324,4623.44,4432.86,4623.83
330,100,16456,16361,4626.17,4434.14,4626.02
331,100,16513,16418,4626.70,4434.92,4626.75
332,100,16569,16532,4628.72,4436.66,4629.20
333,100,16607,16532,4628.64,4435.60,4628.38
334,100,16664,16569,4630.44,4437.57,4630.59
335,100,16702,16607,4632.36,4438.99,4633.00
